,state,const_id,const_name,candidate,party,votes
0,Chhattisgarh,53,Chhattisgarh - Abhanpur,DHANENDRA SAHU,Indian National Congress,76761
1,Chhattisgarh,53,Chhattisgarh - Abhanpur,CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,53290
2,Chhattisgarh,53,Chhattisgarh - Abhanpur,DAYARAM NISHAD,Janta Congress Chhattisgarh (J),21324
3,Chhattisgarh,53,Chhattisgarh - Abhanpur,BRAMHANAND SAHU,Independent,2249
4,Chhattisgarh,53,Chhattisgarh - Abhanpur,SHWETA RAKESH SAHU,Independent,2040
5,Chhattisgarh,53,Chhattisgarh - Abhanpur,TIKENDRA SINGH THAKUR,Nationalist Congress Party,1242
6,Chhattisgarh,53,Chhattisgarh - Abhanpur,SHAKUNTALA MANDLE,Independent,962
7,Chhattisgarh,53,Chhattisgarh - Abhanpur,SANJAY RAI,Aam Aadmi Party,695
8,Chhattisgarh,53,Chhattisgarh - Abhanpur,SAVITRI PAL,Independent,582
9,Chhattisgarh,53,Chhattisgarh - Abhanpur,BHUNESHWAR,Independent,479
10,Chhattisgarh,53,Chhattisgarh - Abhanpur,TEKESHWAR CHATURVEDI,Independent,244
11,Chhattisgarh,53,Chhattisgarh - Abhanpur,DEEPAK KUMAR NAVRANGE,Independent,182
12,Chhattisgarh,53,Chhattisgarh - Abhanpur,None of the Above,None of the Above,3005
13,Chhattisgarh,67,Chhattisgarh - Ahiwara,GURU RUDRA KUMAR,Indian National Congress,88735
14,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAJMAHANT SANWLA RAM DAHRE,Bharatiya Janata Party,57048
15,Chhattisgarh,67,Chhattisgarh - Ahiwara,DR.SHOBHA RAM BANJARE,Bahujan Samaj Party,5844
16,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAM KUMAR SURVANSHI,Independent,1513
17,Chhattisgarh,67,Chhattisgarh - Ahiwara,AJAY RAMTEKE,Aam Aadmi Party,1178
18,Chhattisgarh,67,Chhattisgarh - Ahiwara,RAMBAGAS BHARTI,Independent,705
19,Chhattisgarh,67,Chhattisgarh - Ahiwara,PADMA PATIL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),673
20,Chhattisgarh,67,Chhattisgarh - Ahiwara,MANOJ KUMAR LAHARE,Ambedkarite Party of India,638
21,Chhattisgarh,67,Chhattisgarh - Ahiwara,GAIND LAL RAI,Independent,595
22,Chhattisgarh,67,Chhattisgarh - Ahiwara,NANDKUMAR MAHILANG,Independent,507
23,Chhattisgarh,67,Chhattisgarh - Ahiwara,ADVOCATE SHAILENDRA KUMAR BANJARE (SHAKTI PUTRA),Shakti Sena (Bharat Desh),266
24,Chhattisgarh,67,Chhattisgarh - Ahiwara,None of the Above,None of the Above,3681
25,Chhattisgarh,33,Chhattisgarh - Akaltara,SAURABH SINGH,Bharatiya Janata Party,60502
26,Chhattisgarh,33,Chhattisgarh - Akaltara,RICHA JOGI,Bahujan Samaj Party,58648
27,Chhattisgarh,33,Chhattisgarh - Akaltara,CHUNNILAL SAHU,Indian National Congress,27667
28,Chhattisgarh,33,Chhattisgarh - Akaltara,BADRI PRASAD OGREY,Independent,971
29,Chhattisgarh,33,Chhattisgarh - Akaltara,CHANDRAHAS DEWANGAN,Aam Aadmi Party,958
30,Chhattisgarh,33,Chhattisgarh - Akaltara,PUSHPENDRA KUMAR JAISWAL,Nationalist Congress Party,746
31,Chhattisgarh,33,Chhattisgarh - Akaltara,SHIV KUMAR VISHWKARMA,Independent,682
32,Chhattisgarh,33,Chhattisgarh - Akaltara,RKS (RAM KUMAR SHRIWAS),Independent,552
33,Chhattisgarh,33,Chhattisgarh - Akaltara,RAJESH KUMAR BANJARE,Ambedkarite Party of India,483
34,Chhattisgarh,33,Chhattisgarh - Akaltara,JAGMOHAN PATLEY,Independent,481
35,Chhattisgarh,33,Chhattisgarh - Akaltara,DILESHWAR SAHU,National Democratic Peoples Front,345
36,Chhattisgarh,33,Chhattisgarh - Akaltara,SANJAY PRAKASH SAHU,Bhartiya Kisan Party,323
37,Chhattisgarh,33,Chhattisgarh - Akaltara,AMIR SINGH,Independent,308
38,Chhattisgarh,33,Chhattisgarh - Akaltara,JIWAN LAL YADAW,Samajwadi Party,301
39,Chhattisgarh,33,Chhattisgarh - Akaltara,DILESHWAR VISHWAKARMA,Shiv Sena,287
40,Chhattisgarh,33,Chhattisgarh - Akaltara,None of the Above,None of the Above,2242
41,Chhattisgarh,10,Chhattisgarh - Ambikapur,T.S. BABA,Indian National Congress,100439
42,Chhattisgarh,10,Chhattisgarh - Ambikapur,ANURAG SINGH DEO,Bharatiya Janata Party,60815
43,Chhattisgarh,10,Chhattisgarh - Ambikapur,GOPAL PRASAD GUPTA,Gondvana Gantantra Party,4459
44,Chhattisgarh,10,Chhattisgarh - Ambikapur,TARUN KUMAR BHAGAT,Independent,2173
45,Chhattisgarh,10,Chhattisgarh - Ambikapur,KRANTI KUMAR RAWAT,Independent,2103
46,Chhattisgarh,10,Chhattisgarh - Ambikapur,SITA RAM DAS,Bahujan Samaj Party,1322
47,Chhattisgarh,10,Chhattisgarh - Ambikapur,T S SINGH (BABA),Independent,1075
48,Chhattisgarh,10,Chhattisgarh - Ambikapur,PARASNATH RAJWADE,Independent,981
49,Chhattisgarh,10,Chhattisgarh - Ambikapur,KRISHNA NANDAN SINGH,Independent,592
50,Chhattisgarh,10,Chhattisgarh - Ambikapur,ARVIND KACHCHHAP,Bahujan Mukti Party,507
51,Chhattisgarh,10,Chhattisgarh - Ambikapur,SAKET TRIPATHI,Aam Aadmi Party,424
52,Chhattisgarh,10,Chhattisgarh - Ambikapur,TRIBHUVAN KUMAR,Ambedkarite Party of India,360
53,Chhattisgarh,10,Chhattisgarh - Ambikapur,MUSKAN RAJAK,Independent,358
54,Chhattisgarh,10,Chhattisgarh - Ambikapur,JHAMKESHWAR PAIKRA,Chhattisgarh Swabhiman Manch,334
55,Chhattisgarh,10,Chhattisgarh - Ambikapur,KAMAL KUMAR KASHYAP,Independent,327
56,Chhattisgarh,10,Chhattisgarh - Ambikapur,ALIMUDDIN QUADARI,Independent,319
57,Chhattisgarh,10,Chhattisgarh - Ambikapur,VIJAY TIWARI,Independent,307
58,Chhattisgarh,10,Chhattisgarh - Ambikapur,SATENDRA KUMAR SINGH,Independent,288
59,Chhattisgarh,10,Chhattisgarh - Ambikapur,SHARAD TRIPATHI,Shiv Sena,284
60,Chhattisgarh,10,Chhattisgarh - Ambikapur,SUJAN BIND,Rashtriya mahan Gantantra Party,258
61,Chhattisgarh,10,Chhattisgarh - Ambikapur,T.S.SINGH (BABA),Janata Congress,254
62,Chhattisgarh,10,Chhattisgarh - Ambikapur,VIJAY KUMAR PAIKRA,Independent,161
63,Chhattisgarh,10,Chhattisgarh - Ambikapur,None of the Above,None of the Above,609
64,Chhattisgarh,79,Chhattisgarh - Antagarh,ANOOP NAG,Indian National Congress,57061
65,Chhattisgarh,79,Chhattisgarh - Antagarh,VIKRAM USENDI,Bharatiya Janata Party,43647
66,Chhattisgarh,79,Chhattisgarh - Antagarh,SUKHRANJAN USENDI URAF SILEDAR,Independent,4854
67,Chhattisgarh,79,Chhattisgarh - Antagarh,SANTRAM SARPHE (SALAM),Aam Aadmi Party,3981
68,Chhattisgarh,79,Chhattisgarh - Antagarh,HEMANT POYAM,Bahujan Samaj Party,1243
69,Chhattisgarh,79,Chhattisgarh - Antagarh,RUPDHAR PUDO,Ambedkarite Party of India,1085
70,Chhattisgarh,79,Chhattisgarh - Antagarh,LAXMAN SINGH KOMRA,Independent,922
71,Chhattisgarh,79,Chhattisgarh - Antagarh,NEHRU RAM KOMRA,Independent,683
72,Chhattisgarh,79,Chhattisgarh - Antagarh,SUNITA DHURVE MANDAL,Bhartiya Panchyat Party,663
73,Chhattisgarh,79,Chhattisgarh - Antagarh,PARVAR SINGH KOMRA,Gondvana Gantantra Party,607
74,Chhattisgarh,79,Chhattisgarh - Antagarh,BIRENDRA PARTE,Shiv Sena,484
75,Chhattisgarh,79,Chhattisgarh - Antagarh,None of the Above,None of the Above,4831
76,Chhattisgarh,52,Chhattisgarh - Arang,DR. SHIVKUMAR DAHARIYA,Indian National Congress,69900
77,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY DHIDHI,Bharatiya Janata Party,44823
78,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY CHELAK,Janta Congress Chhattisgarh (J),27903
79,Chhattisgarh,52,Chhattisgarh - Arang,SHARDA BANJARE,Independent,3042
80,Chhattisgarh,52,Chhattisgarh - Arang,NARAYAN PRASAD TANDAN,Independent,1528
81,Chhattisgarh,52,Chhattisgarh - Arang,DAGESHVAR BHARTI,Aam Aadmi Party,1423
82,Chhattisgarh,52,Chhattisgarh - Arang,SANTOSH KUMAR DAHARIYA,Shiv Sena,1112
83,Chhattisgarh,52,Chhattisgarh - Arang,SANJAY KUMAR KOSARIYA,Chhattisgarh Vikas Party,1053
84,Chhattisgarh,52,Chhattisgarh - Arang,NAROTTAM BANJARE,Independent,552
85,Chhattisgarh,52,Chhattisgarh - Arang,ASHOK SONWANI,Independent,439
86,Chhattisgarh,52,Chhattisgarh - Arang,GAJENDRA SINGH KOSHLEY,Independent,379
87,Chhattisgarh,52,Chhattisgarh - Arang,DR. UDAY RATRE,Independent,361
88,Chhattisgarh,52,Chhattisgarh - Arang,NEHA BAGHEL,Bharatiya Bahujan Congress,360
89,Chhattisgarh,52,Chhattisgarh - Arang,TARJAN JANGADE,Independent,315
90,Chhattisgarh,52,Chhattisgarh - Arang,RIJHENDRA KUMAR DAHARIYA,Rashtriya Jansabha Party,265
91,Chhattisgarh,52,Chhattisgarh - Arang,ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Shakti Sena (Bharat Desh),202
92,Chhattisgarh,52,Chhattisgarh - Arang,None of the Above,None of the Above,1321
93,Chhattisgarh,3,Chhattisgarh - Baikunthpur,AMBICA SINGH DEO,Indian National Congress,48885
94,Chhattisgarh,3,Chhattisgarh - Baikunthpur,BHAIYALAL RAJWADE,Bharatiya Janata Party,43546
95,Chhattisgarh,3,Chhattisgarh - Baikunthpur,ENGR.SANJAY SINGH KAMRO,Gondvana Gantantra Party,20247
96,Chhattisgarh,3,Chhattisgarh - Baikunthpur,BIHARI LAL RAJWADE,Janta Congress Chhattisgarh (J),9236
97,Chhattisgarh,3,Chhattisgarh - Baikunthpur,SUNIL SINGH,Aam Aadmi Party,1504
98,Chhattisgarh,3,Chhattisgarh - Baikunthpur,RAM NARAYAN SAHU,Independent,1171
99,Chhattisgarh,3,Chhattisgarh - Baikunthpur,CHINTAMANI SANDILYA,Independent,710
100,Chhattisgarh,3,Chhattisgarh - Baikunthpur,GOPAL SINGH,Independent,615
101,Chhattisgarh,3,Chhattisgarh - Baikunthpur,RAM PRATAP SAHU,Bhartiya Panchyat Party,579
102,Chhattisgarh,3,Chhattisgarh - Baikunthpur,LAV SINGH UDAY,Rashtriya Gondvana Party,426
103,Chhattisgarh,3,Chhattisgarh - Baikunthpur,None of the Above,None of the Above,2630
104,Chhattisgarh,45,Chhattisgarh - Balodabazar,PRAMOD KUMAR SHARMA,Janta Congress Chhattisgarh (J),65251
105,Chhattisgarh,45,Chhattisgarh - Balodabazar,JANAK RAM VERMA,Indian National Congress,63122
106,Chhattisgarh,45,Chhattisgarh - Balodabazar,TESU LAL DHURANDHAR,Bharatiya Janata Party,48808
107,Chhattisgarh,45,Chhattisgarh - Balodabazar,GANESH KUMAR AGRAWAL,Independent,3093
108,Chhattisgarh,45,Chhattisgarh - Balodabazar,GANGA RAM SHER,Independent,3079
109,Chhattisgarh,45,Chhattisgarh - Balodabazar,SANTOSH KUMAR YADU,Shiv Sena,1634
110,Chhattisgarh,45,Chhattisgarh - Balodabazar,MUKESH SAHU,Independent,1530
111,Chhattisgarh,45,Chhattisgarh - Balodabazar,KISHAN LAL,Independent,1035
112,Chhattisgarh,45,Chhattisgarh - Balodabazar,MANAHARAN LAL VERMA,Aam Aadmi Party,979
113,Chhattisgarh,45,Chhattisgarh - Balodabazar,ANIL KUMAR YADAV,Ambedkarite Party of India,903
